file,frame,backend,noise_sigma,roi_size,n_gt_daughters,n_pred_daughters,mother_precision,mother_recall,mother_f1,mother_accuracy,mother_iou,daughter_precision,daughter_recall,daughter_f1,daughter_accuracy,daughter_iou,combined_precision,combined_recall,combined_f1,combined_accuracy,combined_iou,daughter_obj_precision,daughter_obj_recall,daughter_obj_f1,daughter_obj_accuracy,tp_objects,fp_objects,fn_objects
Experiment-1325.czi,0,stardist,0.0,full,0,1,0.9378681658342106,1.0,0.9679380490060101,0.9789810268533673,0.9378681658342106,0.0,1.0,0.0,0.8754318967084924,0.0,0.9374692159584471,1.0,0.9677255341522318,0.9788370612838698,0.9374692159584471,0.0,1.0,0.0,0.0,0,1,0
Experiment-1325.czi,0,cellpose,0.0,full,0,0,0.9378681658342106,1.0,0.9679380490060101,0.9789810268533673,0.9378681658342106,1.0,1.0,1.0,1.0,0.0,0.9378681658342106,1.0,0.9679380490060101,0.9789810268533673,0.9378681658342106,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,86,watershed,0.0,full,0,0,0.0,0.0,0.0,0.6737512881129902,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6737512881129902,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,86,active_contour,0.0,full,0,0,0.0,0.0,0.0,0.6737512881129902,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6737512881129902,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,86,stardist,0.0,full,0,0,0.0,0.0,0.0,0.6737512881129902,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6737512881129902,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,86,cellpose,0.0,full,0,0,0.0,0.0,0.0,0.6737512881129902,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6737512881129902,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,171,watershed,0.0,full,0,0,0.0,0.0,0.0,0.6680457052797478,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6680457052797478,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,171,active_contour,0.0,full,0,0,0.0,0.0,0.0,0.6680457052797478,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6680457052797478,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,171,stardist,0.0,full,0,0,0.0,0.0,0.0,0.6680457052797478,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6680457052797478,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,171,cellpose,0.0,full,0,0,0.0,0.0,0.0,0.6680457052797478,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6680457052797478,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,256,watershed,0.0,full,0,0,0.0,0.0,0.0,0.6393056313269079,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6393056313269079,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,256,active_contour,0.0,full,0,0,0.0,0.0,0.0,0.6393056313269079,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6393056313269079,0.0,1.0,1.0,1.0,0.0,0,0,0
Experiment-1325.czi,256,stardist,0.0,full,0,0,0.0,0.0,0.0,0.6393056313269079,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6393056313269079,0.0,1.0,1.0,1.0,0.0,0,0,0
